"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"383",383,21426,21483,480,18335
"384",384,21484,21536,617,18336
"385",385,21537,21602,707,18336
"386",386,21603,21661,407,18336
"387",387,21662,21721,466,18336
"388",388,21722,21785,472,18336
"389",389,21786,21843,473,18336
"390",390,21844,21897,396,18336
"391",391,21898,21937,203,18337
"392",392,21938,21999,425,18337
"393",393,22000,22039,257,18338
"394",394,22040,22080,317,18338
"395",395,22081,22139,491,18338
"396",396,22140,22191,521,18338
"397",397,22192,22241,800,18338
"398",398,22242,22286,314,18338
"399",399,22287,22324,166,18339
"400",400,22325,22384,491,18339
"401",401,22385,22427,249,18339
"402",402,22428,22487,545,18340
"403",403,22488,22525,164,18341
"404",404,22526,22607,859,18341
"405",405,22608,22637,111,18341
"406",406,22638,22673,91,18342
"407",407,22674,22737,521,18342
"408",408,22738,22825,1513,18342
"409",409,22826,22868,469,18342
"410",410,22869,22913,244,18342
"411",411,22914,22964,509,18343
"412",412,22965,23025,749,18343
"413",413,23026,23065,313,18343
"414",414,23066,23101,130,18343
"415",415,23102,23154,734,18343
"416",416,23155,23202,242,18343
"417",417,23203,23245,408,18344
"418",418,23246,23301,539,18344
"419",419,23302,23352,398,18344
"420",420,23353,23416,443,18344
"421",421,23417,23467,641,18345
"422",422,23468,23519,468,18345
"423",423,23520,23574,509,18345
"424",424,23575,23639,481,18347
"425",425,23640,23692,455,18347
"426",426,23693,23739,385,18347
"427",427,23740,23773,571,18347
"428",428,23774,23830,533,18348
"429",429,23831,23876,376,18348
"430",430,23877,23920,292,18348
"431",431,23921,23962,215,18348
"432",432,23963,24019,481,18348
"433",433,24020,24062,175,18349
"434",434,24063,24122,556,18349
"435",435,24123,24173,521,18349
"436",436,24174,24242,1140,18349
"437",437,24243,24292,511,18349
"438",438,24293,24359,782,18349
"439",439,24360,24429,742,18349
"440",440,24430,24486,519,18349
"441",441,24487,24554,659,18349
"442",442,24555,24618,499,18349
"443",443,24619,24678,467,18349
"444",444,24679,24737,805,18350
"445",445,24738,24788,359,18350
"446",446,24789,24852,650,18350
"447",447,24853,24912,488,18350
"448",448,24913,24990,767,18350
"449",449,24991,25051,498,18350
"450",450,25052,25105,461,18351
"451",451,25106,25158,317,18351
"452",452,25159,25211,531,18351
"453",453,25212,25265,468,18351
"454",454,25266,25309,139,18351
"455",455,25310,25373,664,18351
"456",456,25374,25429,321,18352
"457",457,25430,25497,1096,18353
"458",458,25498,25536,328,18355
"459",459,25537,25592,439,18355
"460",460,25593,25644,460,18355
"461",461,25645,25687,321,18355
"462",462,25688,25743,519,18355
"463",463,25744,25789,335,18355
"464",464,25790,25852,1165,18355
"465",465,25853,25900,357,18355
"466",466,25901,25951,311,18355
"467",467,25952,25999,355,18356
"468",468,26000,26048,563,18356
"469",469,26049,26086,325,18356
"470",470,26087,26154,683,18356
"471",471,26155,26196,305,18356
"472",472,26197,26247,406,18356
"473",473,26248,26313,493,18356
"474",474,26314,26363,363,18356
"475",475,26364,26418,476,18356
"476",476,26419,26461,312,18356
"477",477,26462,26512,319,18357
"478",478,26513,26557,304,18357
"479",479,26558,26613,531,18357
"480",480,26614,26685,793,18357
"481",481,26686,26743,531,18357
"482",482,26744,26780,315,18358
"483",483,26781,26834,295,18358
"484",484,26835,26897,747,18358
"485",485,26898,26958,477,18358
"486",486,26959,27009,600,18359
"487",487,27010,27065,535,18359
"488",488,27066,27119,708,18359
"489",489,27120,27183,761,18359
"490",490,27184,27246,539,18360
"491",491,27247,27284,176,18360
"492",492,27285,27329,295,18361
"493",493,27330,27390,513,18362
"494",494,27391,27444,554,18362
"495",495,27445,27492,298,18362
"496",496,27493,27538,324,18363
"497",497,27539,27581,341,18363
"498",498,27582,27632,474,18363
"499",499,27633,27713,945,18363
"500",500,27714,27754,317,18363
"501",501,27755,27798,290,18363
"502",502,27799,27854,462,18363
"503",503,27855,27922,674,18363
"504",504,27923,27994,888,18363
"505",505,27995,28046,518,18364
"506",506,28047,28111,598,18364
"507",507,28112,28165,776,18364
"508",508,28166,28235,670,18364
"509",509,28236,28322,967,18364
"510",510,28323,28373,457,18364
"511",511,28374,28438,713,18364
"512",512,28439,28486,442,18365
"513",513,28487,28530,377,18365
"514",514,28531,28589,490,18365
"515",515,28590,28630,223,18366
"516",516,28631,28697,756,18366
"517",517,28698,28764,1075,18366
"518",518,28765,28794,86,18367
"519",519,28795,28846,411,18367
"520",520,28847,28906,379,18367
"521",521,28907,28957,339,18368
"522",522,28958,29004,330,18369
"523",523,29005,29040,305,18369
"524",524,29041,29091,654,18369
"525",525,29092,29151,585,18369
"526",526,29152,29202,449,18369
"527",527,29203,29243,492,18369
"528",528,29244,29294,375,18369
"529",529,29295,29366,943,18369
"530",530,29367,29418,435,18369
"531",531,29419,29456,105,18369
"532",532,29457,29486,320,18370
"533",533,29487,29546,593,18370
"534",534,29547,29590,357,18370
"535",535,29591,29655,709,18370
"536",536,29656,29721,705,18370
"537",537,29722,29767,302,18370
"538",538,29768,29816,299,18370
"539",539,29817,29869,446,18370
"540",540,29870,29908,304,18370
"541",541,29909,29963,459,18370
"542",542,29964,30015,438,18370
"543",543,30016,30077,1082,18370
"544",544,30078,30136,487,18371
"545",545,30137,30194,463,18371
"546",546,30195,30245,517,18371
"547",547,30246,30307,661,18371
"548",548,30308,30353,296,18371
"549",549,30354,30409,516,18372
"550",550,30410,30480,1374,18372
"551",551,30481,30538,499,18372
"552",552,30539,30598,460,18372
"553",553,30599,30647,749,18372
"554",554,30648,30707,449,18372
"555",555,30708,30763,353,18372
"556",556,30764,30831,709,18372
"557",557,30832,30886,585,18373
"558",558,30887,30967,753,18373
"559",559,30968,31026,1129,18373
"560",560,31027,31071,282,18373
"561",561,31072,31143,789,18373
"562",562,31144,31209,992,18373
