"","X","ART_NUM","ART_START","ART_END","WORDS","vader_score_neg","vader_score_neu","vader_score_pos","vader_score_compound","DATE","Argentina","Bangladesh","Bahrain","Brazil","Bulgaria","Chile","China","Colombia","Czech Republic","Egypt","Estonia","Greece","Hungary","India","Indonesia","Iran","Israel","Jordan","Kazakhstan","Kenya","Lebanon","Malaysia","Mauritius","Mexico","Morocco","Malaysia.1","Nigeria","Oman","Pakistan","Peru","Philippines","Poland","Qatar","Romania","Russia","Slovakia","Slovenia","Saudi Arabia","South Africa","South Korea","Sri Lanka","Taiwan","Thailand","Tunisia","Turkey","Ukraine","United Arab Emirates","Venezuela","Vietnam"
"57",56,57,3067,3120,333,0.027,0.87,0.103,0.9788,18272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",57,58,3121,3173,427,0.057,0.836,0.108,0.9741,18272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,5,0,0,0
"59",58,59,3174,3235,443,0.032,0.905,0.063,0.9313,18272,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"60",59,60,3236,3301,707,0.047,0.827,0.125,0.9978,18273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"61",60,61,3302,3353,454,0.03,0.891,0.079,0.9826,18273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"62",61,62,3354,3406,692,0.035,0.849,0.117,0.9948,18273,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"63",62,63,3407,3450,394,0.026,0.861,0.112,0.991,18273,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",63,64,3451,3512,706,0.048,0.9,0.052,0.73,18273,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"65",64,65,3513,3568,423,0.025,0.915,0.06,0.9485,18273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",65,66,3569,3622,549,0.053,0.882,0.065,0.8979,18273,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
