,X,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound,DATE,Argentina,Bangladesh,Bahrain,Brazil,Bulgaria,Chile,China,Colombia,Czech Republic,Egypt,Estonia,Greece,Hungary,India,Indonesia,Iran,Israel,Jordan,Kazakhstan,Kenya,Lebanon,Malaysia,Mauritius,Mexico,Morocco,Malaysia.1,Nigeria,Oman,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Slovakia,Slovenia,Saudi Arabia,South Africa,South Korea,Sri Lanka,Taiwan,Thailand,Tunisia,Turkey,Ukraine,United Arab Emirates,Venezuela,Vietnam,China_score,India_score,
45,44,45,1972,2024,1015,0.017,0.942,0.042,0.9665,18404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,45,46,2025,2064,848,0.102,0.805,0.093,-0.533,18404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
47,46,47,2065,2112,1460,0.042,0.89,0.068,0.9846,18404,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257681597091162,
48,47,48,2113,2158,1461,0.042,0.889,0.069,0.9854,18404,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257802693179378,
49,48,49,2159,2176,117,0.016,0.915,0.068,0.7184,18405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,49,50,2177,2194,62,0.03,0.97,0,-0.296,18405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
51,50,51,2195,2216,160,0.015,0.873,0.113,0.9393,18418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,51,52,2217,2246,638,0.019,0.843,0.138,0.9978,18418,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355529522602563,
53,52,53,2247,2298,1579,0.044,0.847,0.109,0.9986,18418,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0.0502609267719435,0,
54,53,54,2299,2332,823,0.07,0.852,0.077,0.2448,18418,2,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0341327662974367,0,
55,54,55,2333,2434,2036,0.025,0.853,0.121,0.9996,18418,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443064910295065,0.420911664780312,
56,55,56,2435,2470,604,0.024,0.876,0.1,0.9916,18432,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.161390527143496,0,
57,56,57,2471,2525,1141,0.013,0.899,0.088,0.9975,18432,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295304511650647,0.383895865145841,
58,57,58,2526,2581,1233,0.066,0.855,0.08,0.9548,18432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,58,59,2582,2645,1757,0.039,0.848,0.112,0.9989,18432,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.405121277744424,0,
60,59,60,2646,2665,427,0.017,0.931,0.052,0.9313,18432,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901375316590328,0,
61,60,61,2666,2717,1145,0.063,0.867,0.07,0.443,18432,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170194035168648,0,
62,61,62,2718,2771,1233,0.066,0.855,0.08,0.9548,18432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,62,63,2772,2837,1983,0.034,0.898,0.068,0.9973,18432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223956907505811,0,
64,63,64,2838,2913,1827,0.063,0.837,0.1,0.9974,18446,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466691709391402,0.0233345854695701,
65,64,65,2914,2959,1870,0.09,0.838,0.072,-0.9902,18446,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0686947224930396,
66,65,66,2960,3003,1109,0.049,0.842,0.109,0.9961,18446,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.358937152419243,0,
67,66,67,3004,3033,644,0.045,0.857,0.099,0.9882,18446,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233643211033644,0,
68,67,68,3034,3109,1811,0.062,0.837,0.101,0.9975,18446,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468795759776385,0.0234397879888193,
69,68,69,3110,3147,706,0.041,0.845,0.114,0.9939,18446,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.112217759838759,0.0374059199462531,
70,69,70,3148,3195,1802,0.094,0.832,0.074,-0.9907,18446,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,17,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.0233380609475216,-0.0700141828425648,
71,70,71,3196,3224,422,0.043,0.864,0.093,0.9543,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,71,72,3225,3251,374,0.016,0.866,0.119,0.9907,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,72,73,3252,3282,459,0.011,0.897,0.092,0.9903,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
74,73,74,3283,3311,552,0.006,0.853,0.141,0.9973,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
75,74,75,3312,3360,1119,0.015,0.904,0.081,0.9973,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178880098833585,
