"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"734",734,42327,42382,1576,18366
"735",735,42383,42430,1486,18366
"736",736,42431,42492,1222,18387
"737",737,42493,42536,1341,18429
"738",738,42537,42576,656,18429
"739",739,42577,42604,333,18429
"740",740,42605,47088,11759,18429
"741",741,47089,47103,69,18454
"742",742,47104,47118,69,18458
"743",743,47119,47133,66,18458
"744",744,47134,47513,4778,18464
"745",745,47514,47528,71,18464
"746",746,47529,47543,66,18464
"747",747,47544,47558,72,18467
"748",748,47559,47573,73,18467
"749",749,47574,47588,66,18471
"750",750,47589,47603,67,18475
"751",751,47604,47618,74,18476
"752",752,47619,47633,76,18479
"753",753,47634,47648,71,18479
"754",754,47649,47732,1397,18492
"755",755,47733,48232,2571,18492
"756",756,48233,48280,805,18492
"757",757,48281,48295,64,18493
"758",758,48296,48310,71,18494
"759",759,48311,48325,29,18494
"760",760,48326,48340,70,18494
"761",761,48341,48355,72,18495
"762",762,48356,48370,74,18495
"763",763,48371,48385,64,18496
"764",764,48386,48400,72,18497
"765",765,48401,48415,69,18498
"766",766,48416,48430,69,18498
"767",767,48431,48445,71,18500
"768",768,48446,48460,71,18500
"769",769,48461,48475,66,18502
"770",770,48476,48490,72,18502
"771",771,48491,48505,66,18505
"772",772,48506,48520,64,18512
"773",773,48521,48606,1889,18513
"774",774,48607,48676,1701,18513
"775",775,48677,49238,4180,18513
"776",776,49239,49266,443,18513
"777",777,49267,49340,2353,18513
"778",778,49341,49355,33,18524
"779",779,49356,49370,75,18527
"780",780,49371,49385,69,18535
"781",781,49386,49400,68,18544
"782",782,49401,49422,208,18555
"783",783,49423,49437,25,18562
"784",784,49438,49452,69,18563
"785",785,49453,49467,71,18564
"786",786,49468,49482,67,18568
"787",787,49483,49497,66,18568
"788",788,49498,50749,9339,18569
"789",789,50750,50781,491,18569
"790",790,50782,50813,572,18569
"791",791,50814,50828,74,18576
"792",792,50829,50843,69,18578
"793",793,50844,50858,81,18578
"794",794,50859,50873,69,18582
"795",795,50874,50888,73,18583
